,Card Name,Decks,Avg,total copies played,colors,convertedManaCost,manaCost,rarity,types,supertypes,subtypes,power,toughness,text
325,Goblin Rabblemaster,0.042,3.4,61.6896,R,3,{2}{R},rare,Creature,,"Goblin,Warrior",2,2,"Other Goblin creatures you control attack each combat if able.
At the beginning of combat on your turn, create a 1/1 red Goblin creature token with haste.
Whenever Goblin Rabblemaster attacks, it gets +1/+0 until end of turn for each other attacking Goblin."
329,Shriekmaw,0.048,2.9,60.1344,B,5,{4}{B},uncommon,Creature,,Elemental,3,2,"Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)
When Shriekmaw enters the battlefield, destroy target nonartifact, nonblack creature.
Evoke {1}{B} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)"
342,Abzan Charm,0.034,3.8,55.8144,"B,G,W",3,{W}{B}{G},uncommon,Instant,,,,,"Choose one â€”
â€¢ Exile target creature with power 3 or greater.
â€¢ You draw two cards and you lose 2 life.
â€¢ Distribute two +1/+1 counters among one or two target creatures."
346,Snapcaster Mage,0.046,2.8,55.6416,U,2,{1}{U},rare,Creature,,"Human,Wizard",2,1,"Flash
When Snapcaster Mage enters the battlefield, target instant or sorcery card in your graveyard gains flashback until end of turn. The flashback cost is equal to its mana cost. (You may cast that card from your graveyard for its flashback cost. Then exile it.)"
352,Stoke the Flames,0.04,3.2,55.296,R,4,{2}{R}{R},rare,Instant,,,,,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Stoke the Flames deals 4 damage to any target."
355,Satyr Wayfinder,0.032,4,55.296,G,2,{1}{G},common,Creature,,Satyr,1,1,"When Satyr Wayfinder enters the battlefield, reveal the top four cards of your library. You may put a land card from among them into your hand. Put the rest into your graveyard."
362,Bogardan Hellkite,0.042,3,54.432,R,8,{6}{R}{R},mythic,Creature,,Dragon,5,5,"Flash
Flying
When Bogardan Hellkite enters the battlefield, it deals 5 damage divided as you choose among any number of targets."
369,Hazoret the Fervent,0.038,3.3,54.1728,R,4,{3}{R},mythic,Creature,Legendary,God,5,4,"Indestructible, haste
Hazoret the Fervent can't attack or block unless you have one or fewer cards in hand.
{2}{R}, Discard a card: Hazoret deals 2 damage to each opponent."
372,Cryptic Command,0.034,3.6,52.8768,U,4,{1}{U}{U}{U},rare,Instant,,,,,"Choose two â€”
â€¢ Counter target spell.
â€¢ Return target permanent to its owner's hand.
â€¢ Tap all creatures your opponents control.
â€¢ Draw a card."
380,Wall of Roots,0.034,3.6,52.8768,G,2,{1}{G},common,Creature,,"Plant,Wall",0,5,"Defender
Put a -0/-1 counter on Wall of Roots: Add {G}. Activate this ability only once each turn."
387,Abrade,0.05,2.4,51.84,R,2,{1}{R},uncommon,Instant,,,,,"Choose one â€”
â€¢ Abrade deals 3 damage to target creature.
â€¢ Destroy target artifact."
390,Attune with Aether,0.03,4,51.84,G,1,{G},common,Sorcery,,,,,"Search your library for a basic land card, reveal it, put it into your hand, then shuffle your library. You get {E}{E} (two energy counters)."
391,Rogue Refiner,0.03,4,51.84,"G,U",3,{1}{G}{U},uncommon,Creature,,"Human,Rogue",3,2,"When Rogue Refiner enters the battlefield, draw a card and you get {E}{E} (two energy counters)."
392,Gut Shot,0.038,3.1,50.8896,R,1,{R/P},common,Instant,,,,,"({R/P} can be paid with either {R} or 2 life.)
Gut Shot deals 1 damage to any target."
395,Spellstutter Sprite,0.03,3.9,50.544,U,2,{1}{U},rare,Creature,,"Faerie,Wizard",1,1,"Flash
Flying
When Spellstutter Sprite enters the battlefield, counter target spell with converted mana cost X or less, where X is the number of Faeries you control."
399,Harmonize,0.028,4,48.384,G,4,{2}{G}{G},uncommon,Sorcery,,,,,Draw three cards.
418,Scion of Oona,0.028,3.9,47.1744,U,3,{2}{U},rare,Creature,,"Faerie,Soldier",1,1,"Flash
Flying
Other Faerie creatures you control get +1/+1.
Other Faeries you control have shroud. (They can't be the targets of spells or abilities.)"
420,Soul-Scar Mage,0.028,3.8,45.9648,R,1,{R},rare,Creature,,"Human,Wizard",1,2,"Prowess
If a source you control would deal noncombat damage to a creature an opponent controls, put that many -1/-1 counters on that creature instead."
422,Vraska's Contempt,0.034,3.1,45.5328,B,4,{2}{B}{B},rare,Instant,,,,,Exile target creature or planeswalker. You gain 2 life.
425,Duress,0.04,2.6,44.928,B,1,{B},common,Sorcery,,,,,"Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card."
453,Longtusk Cub,0.026,4,44.928,G,2,{1}{G},uncommon,Creature,,Cat,2,2,"Whenever Longtusk Cub deals combat damage to a player, you get {E}{E} (two energy counters).
Pay {E}{E}: Put a +1/+1 counter on Longtusk Cub."
454,Monastery Swiftspear,0.026,4,44.928,R,1,{R},uncommon,Creature,,"Human,Monk",1,2,"Haste
Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)"
457,"Jace, the Mind Sculptor",0.028,3.7,44.7552,U,4,{2}{U}{U},mythic,Planeswalker,Legendary,Jace,,,"[+2]: Look at the top card of target player's library. You may put that card on the bottom of that player's library.
[0]: Draw three cards, then put two cards from your hand on top of your library in any order.
[âˆ’1]: Return target creature to its owner's hand.
[âˆ’12]: Exile all cards from target player's library, then that player shuffles their hand into their library."
463,Den Protector,0.03,3.4,44.064,G,2,{1}{G},rare,Creature,,"Human,Warrior",2,1,"Creatures with power less than Den Protector's power can't block it.
Megamorph {1}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)
When Den Protector is turned face up, return target card from your graveyard to your hand."
467,Wingmate Roc,0.042,2.4,43.5456,W,5,{3}{W}{W},mythic,Creature,,Bird,3,4,"Flying
Raid â€” When Wingmate Roc enters the battlefield, if you attacked this turn, create a 3/4 white Bird creature token with flying.
Whenever Wingmate Roc attacks, you gain 1 life for each attacking creature."
469,Seeker of the Way,0.028,3.6,43.5456,W,2,{1}{W},uncommon,Creature,,"Human,Warrior",2,2,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
Whenever you cast a noncreature spell, Seeker of the Way gains lifelink until end of turn."
474,Cursed Scroll,0.026,3.8,42.6816,,1,{1},rare,Artifact,,,,,"{3}, {T}: Choose a card name, then reveal a card at random from your hand. If that card has the chosen name, Cursed Scroll deals 2 damage to any target."
483,Harnessed Lightning,0.026,3.8,42.6816,R,2,{1}{R},uncommon,Instant,,,,,"Choose target creature. You get {E}{E}{E} (three energy counters), then you may pay any amount of {E}. Harnessed Lightning deals that much damage to that creature."
484,Hornet Queen,0.034,2.9,42.5952,G,7,{4}{G}{G}{G},rare,Creature,,Insect,2,2,"Flying
Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Hornet Queen enters the battlefield, create four 1/1 green Insect creature tokens with flying and deathtouch."
487,Mistbind Clique,0.028,3.5,42.336,U,4,{3}{U},rare,Creature,,"Faerie,Wizard",4,4,"Flash
Flying
Champion a Faerie (When this enters the battlefield, sacrifice it unless you exile another Faerie you control. When this leaves the battlefield, that card returns to the battlefield.)
When a Faerie is championed with Mistbind Clique, tap all lands target player controls."
488,Oblivion Ring,0.036,2.7,41.9904,W,3,{2}{W},common,Enchantment,,,,,"When Oblivion Ring enters the battlefield, exile another target nonland permanent.
When Oblivion Ring leaves the battlefield, return the exiled card to the battlefield under its owner's control."
502,Ponder,0.026,3.7,41.5584,U,1,{U},common,Sorcery,,,,,"Look at the top three cards of your library, then put them back in any order. You may shuffle your library.
Draw a card."
508,Rift Bolt,0.026,3.7,41.5584,R,3,{2}{R},common,Sorcery,,,,,"Rift Bolt deals 3 damage to any target.
Suspend 1â€”{R} (Rather than cast this card from your hand, you may pay {R} and exile it with a time counter on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)"
515,Whirler Virtuoso,0.026,3.7,41.5584,"R,U",3,{1}{U}{R},uncommon,Creature,,"Vedalken,Artificer",2,3,"When Whirler Virtuoso enters the battlefield, you get {E}{E}{E} (three energy counters).
Pay {E}{E}{E}: Create a 1/1 colorless Thopter artifact creature token with flying."
516,Eyeblight's Ending,0.04,2.4,41.472,B,3,{2}{B},common,"Tribal,Instant",,Elf,,,Destroy target non-Elf creature.
521,Preordain,0.024,4,41.472,U,1,{U},common,Sorcery,,,,,"Scry 2, then draw a card. (To scry 2, look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)"
525,Servant of the Conduit,0.024,4,41.472,G,2,{1}{G},uncommon,Creature,,"Elf,Druid",2,2,"When Servant of the Conduit enters the battlefield, you get {E}{E} (two energy counters).
{T}, Pay {E}: Add one mana of any color."
526,Whip of Erebos,0.034,2.8,41.1264,B,4,{2}{B}{B},rare,"Enchantment,Artifact",Legendary,,,,"Creatures you control have lifelink.
{2}{B}{B}, {T}: Return target creature card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step. If it would leave the battlefield, exile it instead of putting it anywhere else. Activate this ability only any time you could cast a sorcery."
529,Primeval Titan,0.026,3.6,40.4352,G,6,{4}{G}{G},mythic,Creature,,Giant,6,6,"Trample
Whenever Primeval Titan enters the battlefield or attacks, you may search your library for up to two land cards, put them onto the battlefield tapped, then shuffle your library."
534,Earthshaker Khenra,0.024,3.8,39.3984,R,2,{1}{R},rare,Creature,,"Jackal,Warrior",2,1,"Haste
When Earthshaker Khenra enters the battlefield, target creature with power less than or equal to Earthshaker Khenra's power can't block this turn.
Eternalize {4}{R}{R} ({4}{R}{R}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a 4/4 black Zombie Jackal Warrior with no mana cost. Eternalize only as a sorcery.)"
536,Deep Analysis,0.03,3,38.88,U,4,{3}{U},common,Sorcery,,,,,"Target player draws two cards.
Flashbackâ€”{1}{U}, Pay 3 life. (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
551,Hangarback Walker,0.028,3.2,38.7072,,0,{X}{X},mythic,"Artifact,Creature",,Construct,0,0,"Hangarback Walker enters the battlefield with X +1/+1 counters on it.
When Hangarback Walker dies, create a 1/1 colorless Thopter artifact creature token with flying for each +1/+1 counter on Hangarback Walker.
{1}, {T}: Put a +1/+1 counter on Hangarback Walker."
553,Magma Spray,0.046,1.9,37.7568,R,1,{R},common,Instant,,,,,"Magma Spray deals 2 damage to target creature. If that creature would die this turn, exile it instead."
560,Phantasmal Image,0.024,3.6,37.3248,U,2,{1}{U},rare,Creature,,Illusion,0,0,"You may have Phantasmal Image enter the battlefield as a copy of any creature on the battlefield, except it's an Illusion in addition to its other types and it has ""When this creature becomes the target of a spell or ability, sacrifice it."""
562,Doom Blade,0.034,2.5,36.72,B,2,{1}{B},common,Instant,,,,,Destroy target nonblack creature.
574,"Kari Zev, Skyship Raider",0.034,2.5,36.72,R,2,{1}{R},rare,Creature,Legendary,"Human,Pirate",1,3,"First strike, menace
Whenever Kari Zev, Skyship Raider attacks, create Ragavan, a legendary 2/1 red Monkey creature token. Ragavan enters the battlefield tapped and attacking. Exile that token at end of combat."
576,Glorybringer,0.028,3,36.288,R,5,{3}{R}{R},rare,Creature,,Dragon,4,4,"Flying, haste
You may exert Glorybringer as it attacks. When you do, it deals 4 damage to target non-Dragon creature an opponent controls. (An exerted creature won't untap during your next untap step.)"
580,Bile Blight,0.032,2.6,35.9424,B,2,{B}{B},uncommon,Instant,,,,,Target creature and all other creatures with the same name as that creature get -3/-3 until end of turn.
583,Think Twice,0.032,2.6,35.9424,U,2,{1}{U},common,Instant,,,,,"Draw a card.
Flashback {2}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
587,Mirran Crusader,0.024,3.4,35.2512,W,3,{1}{W}{W},rare,Creature,,"Human,Knight",2,2,"Double strike, protection from black and from green"
592,Elvish Mystic,0.028,2.9,35.0784,G,1,{G},common,Creature,,"Elf,Druid",1,1,{T}: Add {G}.
599,Wild Slash,0.028,2.9,35.0784,R,1,{R},uncommon,Instant,,,,,"Ferocious â€” If you control a creature with power 4 or greater, damage can't be prevented this turn.
Wild Slash deals 2 damage to any target."
600,Day of Judgment,0.026,3.1,34.8192,W,4,{2}{W}{W},rare,Sorcery,,,,,Destroy all creatures.
608,Chart a Course,0.02,4,34.56,U,2,{1}{U},uncommon,Sorcery,,,,,Draw two cards. Then discard a card unless you attacked this turn.
610,Dragonlord Ojutai,0.02,4,34.56,"U,W",5,{3}{W}{U},mythic,Creature,Legendary,"Elder,Dragon",5,4,"Flying
Dragonlord Ojutai has hexproof as long as it's untapped.
Whenever Dragonlord Ojutai deals combat damage to a player, look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order."
613,Hero of Bladehold,0.02,4,34.56,W,4,{2}{W}{W},mythic,Creature,,"Human,Knight",3,4,"Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)
Whenever Hero of Bladehold attacks, create two 1/1 white Soldier creature tokens that are tapped and attacking."
616,Mulldrifter,0.02,4,34.56,U,5,{4}{U},common,Creature,,Elemental,2,2,"Flying
When Mulldrifter enters the battlefield, draw two cards.
Evoke {2}{U} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)"
631,Riftwing Cloudskate,0.02,4,34.56,U,5,{3}{U}{U},uncommon,Creature,,Illusion,2,2,"Flying
When Riftwing Cloudskate enters the battlefield, return target permanent to its owner's hand.
Suspend 3â€”{1}{U} (Rather than cast this card from your hand, you may pay {1}{U} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)"
637,Rune Snag,0.02,4,34.56,U,2,{1}{U},common,Instant,,,,,Counter target spell unless its controller pays {2} plus an additional {2} for each card named Rune Snag in each graveyard.
639,Silumgar's Scorn,0.02,4,34.56,U,2,{U}{U},uncommon,Instant,,,,,"As an additional cost to cast this spell, you may reveal a Dragon card from your hand.
Counter target spell unless its controller pays {1}. If you revealed a Dragon card or controlled a Dragon as you cast this spell, counter that spell instead."
640,Troll Ascetic,0.024,3.3,34.2144,G,3,{1}{G}{G},rare,Creature,,"Troll,Shaman",3,2,"Hexproof (This creature can't be the target of spells or abilities your opponents control.)
{1}{G}: Regenerate Troll Ascetic."
648,Circular Logic,0.028,2.8,33.8688,U,3,{2}{U},rare,Instant,,,,,"Counter target spell unless its controller pays {1} for each card in your graveyard.
Madness {U} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
659,Fatal Push,0.02,3.9,33.696,B,1,{B},uncommon,Instant,,,,,"Destroy target creature if it has converted mana cost 2 or less.
Revolt â€” Destroy that creature if it has converted mana cost 4 or less instead if a permanent you controlled left the battlefield this turn."
663,Garruk Relentless,0.022,3.5,33.264,G,4,{3}{G},mythic,Planeswalker,Legendary,Garruk,,,"When Garruk Relentless has two or fewer loyalty counters on him, transform him.
[0]: Garruk Relentless deals 3 damage to target creature. That creature deals damage equal to its power to him.
[0]: Create a 2/2 green Wolf creature token."
665,Renewed Faith,0.022,3.5,33.264,W,3,{2}{W},common,Instant,,,,,"You gain 6 life.
Cycling {1}{W} ({1}{W}, Discard this card: Draw a card.)
When you cycle Renewed Faith, you may gain 2 life."
673,Bristling Hydra,0.024,3.2,33.1776,G,4,{2}{G}{G},rare,Creature,,Hydra,4,3,"When Bristling Hydra enters the battlefield, you get {E}{E}{E} (three energy counters).
Pay {E}{E}{E}: Put a +1/+1 counter on Bristling Hydra. It gains hexproof until end of turn."
676,Doomwake Giant,0.03,2.5,32.4,B,5,{4}{B},rare,"Enchantment,Creature",,Giant,4,6,"Constellation â€” Whenever Doomwake Giant or another enchantment enters the battlefield under your control, creatures your opponents control get -1/-1 until end of turn."
680,Jace Beleren,0.034,2.2,32.3136,U,3,{1}{U}{U},mythic,Planeswalker,Legendary,Jace,,,"[+2]: Each player draws a card.
[âˆ’1]: Target player draws a card.
[âˆ’10]: Target player puts the top twenty cards of their library into their graveyard."
689,Rampant Growth,0.022,3.4,32.3136,G,2,{1}{G},common,Sorcery,,,,,Search your library for a basic land card and put that card onto the battlefield tapped. Then shuffle your library.
714,Restoration Angel,0.022,3.4,32.3136,W,4,{3}{W},rare,Creature,,Angel,3,4,"Flash
Flying
When Restoration Angel enters the battlefield, you may exile target non-Angel creature you control, then return that card to the battlefield under your control."
719,"Chandra, Torch of Defiance",0.038,1.9,31.1904,R,4,{2}{R}{R},mythic,Planeswalker,Legendary,Chandra,,,"[+1]: Exile the top card of your library. You may cast that card. If you don't, Chandra, Torch of Defiance deals 2 damage to each opponent.
[+1]: Add {R}{R}.
[âˆ’3]: Chandra, Torch of Defiance deals 4 damage to target creature.
[âˆ’7]: You get an emblem with ""Whenever you cast a spell, this emblem deals 5 damage to any target."""
725,Hypnotic Specter,0.02,3.6,31.104,B,3,{1}{B}{B},rare,Creature,,Specter,2,2,"Flying
Whenever Hypnotic Specter deals damage to an opponent, that player discards a card at random."
746,Dark Ritual,0.018,4,31.104,B,1,{B},common,Instant,,,,,Add {B}{B}{B}.
785,Delver of Secrets,0.018,4,31.104,U,1,{U},common,Creature,,"Human,Wizard",1,1,"At the beginning of your upkeep, look at the top card of your library. You may reveal that card. If an instant or sorcery card is revealed this way, transform Delver of Secrets."
787,Makeshift Mannequin,0.018,4,31.104,B,4,{3}{B},uncommon,Instant,,,,,"Return target creature card from your graveyard to the battlefield with a mannequin counter on it. For as long as that creature has a mannequin counter on it, it has ""When this creature becomes the target of a spell or ability, sacrifice it."""
789,Mogg Fanatic,0.018,4,31.104,R,1,{R},uncommon,Creature,,Goblin,1,1,Sacrifice Mogg Fanatic: It deals 1 damage to any target.
804,Titan's Strength,0.018,4,31.104,R,1,{R},common,Instant,,,,,Target creature gets +3/+1 until end of turn. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)
806,Shadowmage Infiltrator,0.018,3.9,30.3264,"B,U",3,{1}{U}{B},uncommon,Creature,,"Human,Wizard",1,3,"Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)
Whenever Shadowmage Infiltrator deals combat damage to a player, you may draw a card."
812,Opt,0.02,3.5,30.24,U,1,{U},common,Instant,,,,,"Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)
Draw a card."
820,Arc Trail,0.024,2.9,30.0672,R,2,{1}{R},uncommon,Sorcery,,,,,Arc Trail deals 2 damage to any target and 1 damage to another target.
825,Essence Scatter,0.024,2.9,30.0672,U,2,{1}{U},common,Instant,,,,,Counter target creature spell.
835,"Elspeth, Sun's Champion",0.03,2.3,29.808,W,6,{4}{W}{W},mythic,Planeswalker,Legendary,Elspeth,,,"[+1]: Create three 1/1 white Soldier creature tokens.
[âˆ’3]: Destroy all creatures with power 4 or greater.
[âˆ’7]: You get an emblem with ""Creatures you control get +2/+2 and have flying."""
838,Search for Azcanta,0.03,2.3,29.808,U,2,{1}{U},rare,Enchantment,Legendary,,,,"At the beginning of your upkeep, look at the top card of your library. You may put it into your graveyard. Then if you have seven or more cards in your graveyard, you may transform Search for Azcanta."
841,Imperious Perfect,0.018,3.8,29.5488,G,3,{2}{G},uncommon,Creature,,"Elf,Warrior",2,2,"Other Elf creatures you control get +1/+1.
{G}, {T}: Create a 1/1 green Elf Warrior creature token."
853,Cunning Wish,0.022,3.1,29.4624,U,3,{2}{U},rare,Instant,,,,,"You may choose an instant card you own from outside the game, reveal that card, and put it into your hand. Exile Cunning Wish."
858,Dissolve,0.022,3.1,29.4624,U,3,{1}{U}{U},rare,Instant,,,,,Counter target spell. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)
862,Cloudthresher,0.032,2.1,29.0304,G,6,{2}{G}{G}{G}{G},rare,Creature,,Elemental,7,7,"Flash
Reach
When Cloudthresher enters the battlefield, it deals 2 damage to each creature with flying and each player.
Evoke {2}{G}{G} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)"
866,Masticore,0.024,2.8,29.0304,,4,{4},rare,"Artifact,Creature",,Masticore,4,4,"At the beginning of your upkeep, sacrifice Masticore unless you discard a card.
{2}: Masticore deals 1 damage to target creature.
{2}: Regenerate Masticore."
874,Abbot of Keral Keep,0.018,3.7,28.7712,R,2,{1}{R},rare,Creature,,"Human,Monk",2,1,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
When Abbot of Keral Keep enters the battlefield, exile the top card of your library. Until end of turn, you may play that card."
877,Gitaxian Probe,0.018,3.7,28.7712,U,1,{U/P},rare,Sorcery,,,,,"({U/P} can be paid with either {U} or 2 life.)
Look at target player's hand.
Draw a card."
880,Spreading Seas,0.018,3.7,28.7712,U,2,{1}{U},common,Enchantment,,Aura,,,"Enchant land
When Spreading Seas enters the battlefield, draw a card.
Enchanted land is an Island."
881,Ahn-Crop Crasher,0.022,3,28.512,R,3,{2}{R},uncommon,Creature,,"Minotaur,Warrior",3,2,"Haste
You may exert Ahn-Crop Crasher as it attacks. When you do, target creature can't block this turn. (An exerted creature won't untap during your next untap step.)"
883,Soulfire Grand Master,0.02,3.3,28.512,W,2,{1}{W},mythic,Creature,,"Human,Monk",2,2,"Lifelink
Instant and sorcery spells you control have lifelink.
{2}{U/R}{U/R}: The next time you cast an instant or sorcery spell from your hand this turn, put that card into your hand instead of into your graveyard as it resolves."
885,Foul-Tongue Invocation,0.024,2.7,27.9936,B,3,{2}{B},uncommon,Instant,,,,,"As an additional cost to cast this spell, you may reveal a Dragon card from your hand.
Target player sacrifices a creature. If you revealed a Dragon card or controlled a Dragon as you cast this spell, you gain 4 life."
887,Solemn Simulacrum,0.018,3.6,27.9936,,4,{4},rare,"Artifact,Creature",,Golem,2,2,"When Solemn Simulacrum enters the battlefield, you may search your library for a basic land card, put that card onto the battlefield tapped, then shuffle your library.
When Solemn Simulacrum dies, you may draw a card."
900,Nameless Inversion,0.034,1.9,27.9072,B,2,{1}{B},common,"Tribal,Instant",,Shapeshifter,,,"Changeling (This card is every creature type.)
Target creature gets +3/-3 and loses all creature types until end of turn."
905,Atarka's Command,0.016,4,27.648,"G,R",2,{R}{G},rare,Instant,,,,,"Choose two â€”
â€¢ Your opponents can't gain life this turn.
â€¢ Atarka's Command deals 3 damage to each opponent.
â€¢ You may put a land card from your hand onto the battlefield.
â€¢ Creatures you control get +1/+1 and gain reach until end of turn."
907,Bitterblossom,0.016,4,27.648,B,2,{1}{B},rare,"Tribal,Enchantment",,Faerie,,,"At the beginning of your upkeep, you lose 1 life and create a 1/1 black Faerie Rogue creature token with flying."
914,Dragonstorm,0.016,4,27.648,R,9,{8}{R},rare,Sorcery,,,,,"Search your library for a Dragon permanent card and put it onto the battlefield. Then shuffle your library.
Storm (When you cast this spell, copy it for each spell cast before it this turn.)"
918,Explore,0.016,4,27.648,G,2,{1}{G},common,Sorcery,,,,,"You may play an additional land this turn.
Draw a card."
926,Goblin Chainwhirler,0.016,4,27.648,R,3,{R}{R}{R},rare,Creature,,"Goblin,Warrior",3,3,"First strike
When Goblin Chainwhirler enters the battlefield, it deals 1 damage to each opponent and each creature and planeswalker they control."
929,Jadelight Ranger,0.016,4,27.648,G,3,{1}{G}{G},rare,Creature,,"Merfolk,Scout",2,1,"When Jadelight Ranger enters the battlefield, it explores, then it explores again. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard. Then repeat this process.)"
